assetType,assetMainType,cusip,assetSubType,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.33,200,T,283.34,300,T,283.3399,4000,Z,285.38,285.68,282.55, ,279.1,4.2399,56830125,1587136801975,1587136801742,283.3399,p,PACIFIC,True,True,0.0144,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.3399,40,4.2399,1587136801742,1.5191,4.2399,1.5191,1.5191,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,282.81,100,P,282.81,100,T,282.8011,200,D,285.38,285.68,282.4, ,279.1,3.7011,58438498,1587137402523,1587137402504,282.81,p,PACIFIC,True,True,0.0141,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,282.8011,2,3.7011,1587137402504,1.3261,3.71,1.3293,1.3261,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.39,300,T,283.4,500,P,283.39,100,P,285.38,285.68,282.4, ,279.1,4.29,59331731,1587137702393,1587137702349,283.39,p,PACIFIC,True,True,0.014,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.39,1,4.29,1587137702349,1.5371,4.29,1.5371,1.5371,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.6,300,T,283.61,100,T,283.6099,5000,D,285.38,285.68,282.4, ,279.1,4.5099,60151048,1587138002577,1587138002535,283.6099,p,PACIFIC,True,True,0.0138,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.6099,50,4.5099,1587138002535,1.6159,4.5099,1.6159,1.6159,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.54,400,K,283.56,200,Z,283.55,100,D,285.38,285.68,282.4, ,279.1,4.45,61104841,1587138302604,1587138302397,283.55,p,PACIFIC,True,True,0.0137,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.55,1,4.45,1587138302397,1.5944,4.45,1.5944,1.5944,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.61,400,K,283.63,300,T,283.62,100,T,285.38,285.68,282.4, ,279.1,4.52,61882722,1587138602618,1587138602520,283.62,p,PACIFIC,True,True,0.0136,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.62,1,4.52,1587138602520,1.6195,4.52,1.6195,1.6195,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.63,200,T,283.65,500,K,283.64,100,Z,285.38,285.68,282.4, ,279.1,4.54,62459770,1587138902630,1587138902628,283.64,p,PACIFIC,True,True,0.0135,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.64,1,4.54,1587138902628,1.6267,4.54,1.6267,1.6267,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.53,100,T,283.54,1200,T,283.535,100,T,285.38,285.68,282.4, ,279.1,4.435,65724951,1587139202398,1587139202395,283.535,p,PACIFIC,True,True,0.0134,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.535,1,4.435,1587139202395,1.589,4.435,1.589,1.589,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.26,100,Z,283.27,100,P,283.28,100,K,285.38,285.68,282.4, ,279.1,4.18,66407371,1587139502924,1587139502762,283.27,p,PACIFIC,True,True,0.0133,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.28,1,4.18,1587139502762,1.4977,4.17,1.4941,1.4977,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.05,200,T,283.07,200,Z,283.07,100,T,285.38,285.68,282.4, ,279.1,3.97,68154245,1587139801863,1587139801765,283.07,p,PACIFIC,True,True,0.0132,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.07,1,3.97,1587139801765,1.4224,3.97,1.4224,1.4224,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.42,200,Z,283.44,200,T,283.434,100,J,285.38,285.68,282.4, ,279.1,4.334,68705740,1587140101756,1587140100774,283.434,p,PACIFIC,True,True,0.0132,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.434,1,4.334,1587140100774,1.5528,4.334,1.5528,1.5528,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.86,1600,T,283.87,100,P,283.87,100,K,285.38,285.68,282.4, ,279.1,4.77,70066054,1587140401998,1587140401997,283.87,p,PACIFIC,True,True,0.013,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.87,1,4.77,1587140401997,1.7091,4.77,1.7091,1.7091,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.44,400,K,283.46,200,Y,283.46,500,D,285.38,285.68,282.4, ,279.1,4.36,72801526,1587140701798,1587140701968,283.46,p,PACIFIC,True,True,0.0129,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.46,5,4.36,1587140701968,1.5622,4.36,1.5622,1.5622,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.35,200,P,283.37,2200,K,283.36,100,Y,285.38,285.68,282.4, ,279.1,4.26,73506099,1587141002094,1587141001903,283.36,p,PACIFIC,True,True,0.0129,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.36,1,4.26,1587141001903,1.5263,4.26,1.5263,1.5263,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.67,100,P,283.68,500,Z,283.67,500,D,285.38,285.68,282.4, ,279.1,4.57,74040251,1587141302095,1587141302047,283.67,p,PACIFIC,True,True,0.0128,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.67,5,4.57,1587141302047,1.6374,4.57,1.6374,1.6374,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.08,100,X,284.09,200,P,284.08,100,T,285.38,285.68,282.4, ,279.1,4.98,75207316,1587141602015,1587141602014,284.08,p,PACIFIC,True,True,0.0126,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.08,1,4.98,1587141602014,1.7843,4.98,1.7843,1.7843,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.22,400,T,284.23,900,Z,284.23,100,Y,285.38,285.68,282.4, ,279.1,5.13,75892338,1587141902046,1587141901787,284.23,p,PACIFIC,True,True,0.0126,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.23,1,5.13,1587141901787,1.8381,5.13,1.838,1.8381,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.57,300,T,284.58,100,T,284.57,100,D,285.38,285.68,282.4, ,279.1,5.47,76656055,1587142201982,1587142201882,284.57,p,PACIFIC,True,True,0.0125,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.57,1,5.47,1587142201882,1.9599,5.47,1.9599,1.9599,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.59,700,K,284.61,900,P,284.6,200,Z,285.38,285.68,282.4, ,279.1,5.5,77520334,1587142502059,1587142502059,284.6,p,PACIFIC,True,True,0.0124,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.6,2,5.5,1587142502059,1.9706,5.5,1.9706,1.9706,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.23,1300,Z,284.25,300,T,284.24,200,T,285.38,285.68,282.4, ,279.1,5.14,78801042,1587142802062,1587142801726,284.24,p,PACIFIC,True,True,0.0123,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.24,2,5.14,1587142801726,1.8416,5.14,1.8416,1.8416,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.31,200,T,284.32,400,Y,284.3169,100,D,285.38,285.68,282.4, ,279.1,5.2169,79748192,1587143102270,1587143102166,284.3169,p,PACIFIC,True,True,0.0122,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.3169,1,5.2169,1587143102166,1.8692,5.2169,1.8692,1.8692,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.56,600,P,284.58,200,Z,284.57,100,T,285.38,285.68,282.4, ,279.1,5.47,80311696,1587143402220,1587143402008,284.57,p,PACIFIC,True,True,0.0121,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.57,1,5.47,1587143402008,1.9599,5.47,1.9599,1.9599,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.24,300,P,284.26,300,P,284.24,100,Z,285.38,285.68,282.4, ,279.1,5.14,81095575,1587143702826,1587143702441,284.24,p,PACIFIC,True,True,0.0121,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.24,1,5.14,1587143702441,1.8416,5.14,1.8416,1.8416,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.69,400,K,284.71,400,B,284.7,100,Y,285.38,285.68,282.4, ,279.1,5.6,81947109,1587144001789,1587144001721,284.7,p,PACIFIC,True,True,0.012,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.7,1,5.6,1587144001721,2.0064,5.6,2.0064,2.0064,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.14,100,Z,284.15,100,N,284.13,100,K,285.38,285.68,282.4, ,279.1,5.03,82852331,1587144301581,1587144301025,284.14,p,PACIFIC,True,True,0.0119,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.13,1,5.03,1587144301025,1.8022,5.04,1.8058,1.8022,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.05,400,Z,284.06,100,P,284.0501,100,D,285.38,285.68,282.4, ,279.1,4.9501,83913700,1587144601824,1587144601734,284.0501,p,PACIFIC,True,True,0.0118,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.0501,1,4.9501,1587144601734,1.7736,4.9501,1.7736,1.7736,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.06,200,P,284.07,700,T,284.06,100,Z,285.38,285.68,282.4, ,279.1,4.96,84540120,1587144901846,1587144901846,284.06,p,PACIFIC,True,True,0.0118,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.06,1,4.96,1587144901846,1.7771,4.96,1.7771,1.7771,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.4,400,T,284.42,500,K,284.4,600,D,285.38,285.68,282.4, ,279.1,5.3,86272289,1587145201798,1587145201678,284.4,p,PACIFIC,True,True,0.0117,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.4,6,5.3,1587145201678,1.899,5.3,1.899,1.899,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.4,400,T,284.42,400,K,284.41,100,T,285.38,285.68,282.4, ,279.1,5.31,86808233,1587145501828,1587145501800,284.41,p,PACIFIC,True,True,0.0116,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.41,1,5.31,1587145501800,1.9025,5.31,1.9025,1.9025,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.81,1100,T,283.83,600,Y,283.8397,100,D,285.38,285.68,282.4, ,279.1,4.7397,87750536,1587145801875,1587145801209,283.83,p,PACIFIC,True,True,0.0116,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.8397,1,4.7397,1587145801209,1.6982,4.73,1.6947,1.6982,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,283.94,400,T,283.95,100,N,283.94,100,K,285.38,285.68,282.4, ,279.1,4.84,88773839,1587146102198,1587146101862,283.94,p,PACIFIC,True,True,0.0115,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,283.94,1,4.84,1587146101862,1.7341,4.84,1.7341,1.7341,True
ETF,EQUITY,78462F103,ETF,SPY,SPDR S&P 500,284.03,1400,P,284.04,800,P,284.03,200,P,285.38,285.68,282.4, ,279.1,4.93,89761985,1587146402138,1587146402089,284.03,p,PACIFIC,True,True,0.0114,2,339.08,218.26,0.0,0.0,5.7908,2.07,2020-03-20 00:00:00.000,Normal,284.03,2,4.93,1587146402089,1.7664,4.93,1.7664,1.7664,True
