assetType,assetMainType,cusip,symbol,description,bidPrice,bidSize,bidId,askPrice,askSize,askId,lastPrice,lastSize,lastId,openPrice,highPrice,lowPrice,bidTick,closePrice,netChange,totalVolume,quoteTimeInLong,tradeTimeInLong,mark,exchange,exchangeName,marginable,shortable,volatility,digits,52WkHigh,52WkLow,nAV,peRatio,divAmount,divYield,divDate,securityStatus,regularMarketLastPrice,regularMarketLastSize,regularMarketNetChange,regularMarketTradeTimeInLong,netPercentChangeInDouble,markChangeInDouble,markPercentChangeInDouble,regularMarketPercentChangeInDouble,delayed
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1456.83,100,P,1457.79,100,J,1457.1801,100,Q,1445.36,1468.0,1443.21, ,1446.61,10.57,879186,1591727702554,1591727671162,1457.18,q,NASD,True,True,0.0367,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1457.1801,1,10.57,1591727671162,0.7307,10.57,0.7307,0.7307,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1455.48,100,Q,1456.88,100,Q,1456.0,100,Z,1445.36,1468.0,1443.21, ,1446.61,9.39,885777,1591728001143,1591727996842,1456.0,q,NASD,True,True,0.0367,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1456.0,1,9.39,1591727996842,0.6491,9.39,0.6491,0.6491,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1455.74,100,Q,1457.4,100,Q,1456.96,100,Q,1445.36,1468.0,1443.21, ,1446.61,10.35,892300,1591728301785,1591728244870,1456.96,q,NASD,True,True,0.0365,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1456.96,1,10.35,1591728244870,0.7155,10.35,0.7155,0.7155,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1455.95,100,Q,1457.48,100,Q,1457.25,100,D,1445.36,1468.0,1443.21, ,1446.61,10.64,897203,1591728601958,1591728564984,1457.25,q,NASD,True,True,0.0366,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1457.25,1,10.64,1591728564984,0.7355,10.64,0.7355,0.7355,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1456.12,1800,P,1457.7,100,Q,1457.28,100,D,1445.36,1468.0,1443.21, ,1446.61,10.67,899984,1591728900107,1591728842925,1457.28,q,NASD,True,True,0.0366,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1457.28,1,10.67,1591728842925,0.7376,10.67,0.7376,0.7376,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1456.64,1700,P,1458.0,200,Q,1457.42,100,Q,1445.36,1468.0,1443.21, ,1446.61,10.81,905406,1591729201846,1591729155127,1457.42,q,NASD,True,True,0.0365,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1457.42,1,10.81,1591729155127,0.7473,10.81,0.7473,0.7473,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1456.27,100,Q,1457.35,100,Q,1456.99,100,D,1445.36,1468.0,1443.21, ,1446.61,10.38,913040,1591729502013,1591729500102,1456.99,q,NASD,True,True,0.0364,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1456.99,1,10.38,1591729500102,0.7175,10.38,0.7175,0.7175,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1455.36,100,Q,1456.95,100,Q,1456.3,100,P,1445.36,1468.0,1443.21, ,1446.61,9.69,917669,1591729802450,1591729788362,1456.3,q,NASD,True,True,0.0364,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1456.3,1,9.69,1591729788362,0.6698,9.69,0.6698,0.6698,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1455.8,100,Q,1457.39,100,C,1457.03,100,D,1445.36,1468.0,1443.21, ,1446.61,10.42,928015,1591730102533,1591730030251,1457.03,q,NASD,True,True,0.0363,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1457.03,1,10.42,1591730030251,0.7203,10.42,0.7203,0.7203,True
EQUITY,EQUITY,02079K107,GOOG,Alphabet Inc. - Class C Capital Stock,1459.52,1100,P,1460.0,500,P,1459.52,100,Q,1445.36,1468.0,1443.21, ,1446.61,12.91,934500,1591730402391,1591730333604,1459.52,q,NASD,True,True,0.0362,4,1532.106,1013.536,0.0,28.79,0.0,0.0,,Normal,1459.52,1,12.91,1591730333604,0.8924,12.91,0.8924,0.8924,True
