,beta,bookValuePerShare,currentRatio,dividendYield,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,interestCoverage,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Sector_Communication Services,Sector_Consumer Discretionary,Sector_Consumer Staples,Sector_Energy,Sector_Financials,Sector_Health Care,Sector_Industrials,Sector_Information Technology,Sector_Materials,Sector_Real Estate,Sector_Utilities
NOC,0.78109,7.63484,1.35489,1.71,0.0,18.817870000000003,14.22429,20.5538,21.270889999999998,6.45455,146.8184,56642.77,165.9115,11.31247,6.907780000000001,11.18865,11.57061,5.83204,15.996260000000001,23.8859,0.0,1.63236,1.26935,5.7718,25.33023,7.355360000000001,3.06265,5.516030000000001,0.0,166714063.0,0.0,0.0,62.318619999999996,165.38299999999998,799300.0,799300.0,20151510.0,0,0,0,0,0,0,1,0,0,0,0
NLOK,0.83331,0.0,0.76531,2.19,7060.398,346.1666,1.08443,85.99349000000001,84.55583,6.675680000000001,0.0,13474.87,585.3519,24.2671,28.198859999999996,22.8013,24.12388,0.0,14.319729999999998,21.02487,0.002978,5.49098,0.0,6.3562,29.15526,8.86157,0.0,0.0,0.0,591002949.0,0.0,0.0,116.2206,0.0,7355932.0,7355930.0,135686890.0,0,0,0,0,0,0,0,1,0,0,0
NCLH,2.71068,14.6167,1.06456,0.0,0.0,0.0,0.0,0.0,31.861159999999998,0.0,230.8465,4241.775,273.9524,0.0,0.0,0.0,0.0,0.90965,0.0,0.0,0.0,0.91059,1.03272,0.0,0.0,0.0,0.0,0.0,0.0,275618888.0,0.0,0.0,70.46878000000001,238.6246,33898144.0,33898140.0,1210707710.0,0,1,0,0,0,0,0,0,0,0,0
NRG,1.0043600000000001,0.0,1.21985,3.4,1938.0279999999998,44.74993,16.38513,27.835559999999997,26.521959999999996,2.21101,378.0599,8618.065999999999,242.0665,5.9930699999999995,42.86305,11.193660000000001,11.7416,5.64487,1.8878599999999999,2.1543900000000002,0.001112,0.89076,1.08941,37.1063,0.0,47.294290000000004,0.0,3.21101,0.0,244137848.0,0.0,0.0,80.75910999999999,419.7266,1906110.0,1906110.0,50976910.0,0,0,0,0,0,0,0,0,0,0,1
NUE,1.49149,7.09324,4.3943,3.47,0.0,0.0,1.67365,8.73428,9.855310000000001,4.7297199999999995,51.78221,13998.88,299.7482,3.07704,2.9948200000000003,5.33685,5.05271,1.37314,10.16508,27.70591,0.0,0.68128,2.67766,3.3360300000000005,4.95961,3.8799,0.0,0.0,0.0,301895077.0,0.0,0.0,33.58977,52.705940000000005,1931074.0,1931070.0,44623750.0,0,0,0,0,0,0,0,0,1,0,0
NVDA,1.4779,19.68194,10.29112,0.13,14.31306,130.4967,5.35647,65.06494,63.47427,0.0,53.12619,303490.2,589.2859,29.77273,28.17966,31.688309999999998,29.41077,23.168960000000002,81.67121,92.12784,6.436628,25.76755,9.698369999999999,17.80818,29.1102,19.4156,0.0,9.777239999999999,0.0,615000000.0,0.0,0.0,34.694390000000006,53.12619,9392782.0,9392780.0,237657680.0,0,0,0,0,0,0,0,1,0,0,0
NVR,1.1017299999999999,18.34243,0.0,0.0,0.21335,0.0,208.0885,20.9693,20.65036,23.0295,45.70343,15347.83,3.48049,10.095,11.481760000000001,13.496260000000001,13.48276,5.85387,18.235879999999998,19.92128,93.373705,2.14981,0.0,19.67302,34.64615,25.12957,2.1576,0.0,0.0,3702385.0,0.0,0.0,31.367440000000002,45.70343,21707.0,21710.0,554160.0,0,1,0,0,0,0,0,0,0,0,0
ORLY,1.12378,0.0,0.95268,0.0,21.6967,57.51316,20.40693,52.95584,52.99888000000001,20.129279999999998,700.6276,34770.45,72.82091,17.19717,14.44648,23.822329999999997,19.94775,59.04925,18.90945,23.004929999999998,1.060296,3.24424,0.25005,14.1202,422.0092,24.67836,24.83793,9.38369,0.0,74064777.0,0.0,0.0,87.5098,700.6276,460874.0,460870.0,12085650.0,0,1,0,0,0,0,0,0,0,0,0
OXY,1.99137,0.0,0.85059,0.29,0.0,0.0,0.0,39.58122,58.54671,0.0,154.3476,12938.28,928.043,0.0,0.0,0.0,0.0,0.94024,0.0,0.0,0.0,0.59692,0.70168,0.0,0.0,0.0,0.0,18.26168,0.0,930142153.0,0.0,0.0,62.24774,164.8848,26733158.0,26733160.0,707203450.0,0,0,0,1,0,0,0,0,0,0,0
ODFL,1.0327600000000001,17.37414,1.9599799999999998,0.31,0.0,0.0,4.93038,91.58545,89.53496,372.97,3.35035,22676.65,102.4801,16.49223,14.94721,22.22314,19.99695,7.6035699999999995,26.7315,39.19982,0.0,5.75369,0.0,15.03062,20.3809,16.93207,0.0,0.0,0.0,117331447.0,0.0,0.0,4.63399,4.85916,664420.0,664420.0,16146820.0,0,0,0,0,0,0,1,0,0,0,0
