Sector,index,pegRatio,pbRatio,pcfRatio,peRatio,prRatio,quickRatio,ltDebtToEquity,totalDebtToEquity,interestCoverage,grossMarginTTM,grossMarginMRQ,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,returnOnAssets,returnOnEquity,returnOnInvestment,beta,Rating,bookValuePerShare,currentRatio,dividendPayAmount,epsChangePercentTTM,epsChangeYear,epsTTM,revChangeIn,revChangeTTM,high52,low52,marketCap,marketCapFloat,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees
Energy Minerals,REI,0,0.10522,0,0,0.40857,0,83.22468,83.2922,0.72675,68.08776,68.53912,0,0,20.69233,0,0,0,0,2.58743,Buy,6.80837,1.64927,0,0,0,0,195.833,0,3.31,0.4301,54.7098,56.29379,0,81668600,0,0,REI,45.4423,2076794,2076790,39786190,0.7259,8.35945664,0.056,3224918,59283237,,-1.2964,58
Energy Minerals,PVL,0,0.34216,0,3.36101,3.32191,0,0,0,0,0,0,72.56105,98.83671,72.56105,98.79881,9.73923,9.75963,9.75963,1.87729,Buy,0,0.39982,0.0038,0,0,0.22523,0,0,2.15,0.46,24.981,22.50776,0,33000000,0,0,PVL,0,172147,172150,4341890,0.79,4.35931308,0.033,226111,24981000,3.36145648,0.2252,
Energy Minerals,GTE,0,0.43236,0,0,0.43712,0,257.7495,258.834,0,51.18065,58.58831,0,0,0,0,0,0,0,2.36257,Buy,0,1.6926,0,0,0,0,57.11329,0,1.38,0.1775,131.5629,359.8974,0,366981556,0,0,GTE,72.13196,4767525,4767530,106860320,0.417,16.31799163,0.0585,18993546,153031494,,-1.9159,362
Energy Minerals,TGA,0,0.47312,0,0,0.59923,1.00691,5.0505,20.4561,0,45.39053,31.93118,0,0,0,0,0,0,0,2.92851,Buy,0,1.2995,0.035,0,0,0,44.70295,0,1.46,0.3008,66.11833,66.28606,0,72542071,0,0,TGA,16.9822,343696,343700,16888440,0.9478,4.61368653,0.0418,393651,68755308,,-1.15126334,75
Finance,USWS,0,0,0,0,0.1003,0.80597,0,0,0,24.01454,30.16439,0,0,0,0,0,0,0,1.84692,Buy,0,0.92916,0,0,37.86486,0,10.55551,0,2,0.2315,28.94628,40.36407,0,71766358,0,0,USWS,101.5636,790231,790230,42332900,0.4499,15.12282497,0.0591,5287917,32287703,,-4.3919,871
Finance,ATIF,0,2.34354,0,0,64.95185,0.6668,0,0.82312,0,0,0,0,0,0,0,0,0,0,0,Sell,0,0.67281,0,0,0,0,0,0,3.75,0.6501,44.55697,12.39288,0,51362500,0,0,ATIF,0.4121,25360164,25360160,105900270,0.8581,-1.08357349,-0.0094,1715306,44074161,,-0.374,97
Health Services,GEN,0,0,41.38908,0,0.02025,0,0,0,0,0,0,0,0,0,0.64716,0,0,0,1.41384,Buy,0,0.94378,0,0,0,0,0,0,1.8595,0.401,83.48177,63.79843,0,110642614,0,0,GEN,355.5551,2309912,2309910,30197400,0.5691,13.70629371,0.0686,3146758,63390567,,-0.6253,55000
Health Services,GHSI,0,4.20314,0,0,23.29936,8.68483,0,0,0,105.4277,54.93108,0,0,0,0,0,0,0,0,Buy,0,9.79457,0,71.19,63.33837,0,0,114.523,0.74,0.165,44.92327,84.88968,0,88327312,0,0,GHSI,0,50919019,50919020,244044990,0.55,8.13999214,0.0414,55041704,48580015,,-0.1164,22
Health Technology,BXRX,0,0,0,0,103.272,1.36387,0,0,0,0,0,17183.82,0,18032.35,0,0,0,0,0,Sell,0,1.45342,0,0,154.7968,0,0,0,10.14,0.97,43.06443,42.41838,0,42638050,0,0,BXRX,0,2703156,2703160,44429970,0.9999,-1,-0.0101,8726004,29090491,,-5.8976,25
Health Technology,TLGT,0,0,0,0,0.31242,1.25232,0,0,0,6.60901,0.79503,0,0,14.52681,0,0,0,0,1.76264,Buy,0,2.48225,0,0,93.65196,0,5.54247,0,6.459,0.455,16.03939,21.72176,0,21754223,0,0,TLGT,124.7214,2289139,2289140,115034580,0.915,24.10145124,0.1777,13050732,19905093,,-8.6107,252
