Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
SHC,26.41,-2.25758697,-0.61,Sell,466738,7326979120,,,,Health Technology
FHN,13.14,2.3364486,0.3,Buy,6708738,7289914320,8.40094216,1.5386,5017,Finance
EWBC,51.48,0.66484161,0.34,Buy,577699,7287714720,12.45251778,4.1222,3300,Finance
H,71.55,0.77464789,0.55,Neutral,417031,7286226134,,-1.8102,55000,Consumer Services
UGI,34.88,0.25869503,0.09,Sell,991528,7270003520,13.74881442,2.5445,6500,Utilities
CAE,27.34,2.74332958,0.73,Buy,457295,7268366340,160.03740432,0.16941793,10500,Commercial Services
ZI,45.17,-0.89951733,-0.41,Buy,1139400,7264368270,,-0.2514,,Technology Services
RGLD,110.64,0.32644178,0.36,Sell,435771,7258492944,30.68703565,3.5992,27,Non-Energy Minerals
MIDD,129.81,2.89315155,3.65,Buy,1777244,7219032663,26.43755239,4.7759,9778,Producer Manufacturing
YSG,16.93,1.80396873,0.3,Strong Buy,4139129,7218760000,,-0.2421,,Retail Trade
ZION,43.61,1.58397391,0.68,Buy,1349517,7152563320,18.17219776,2.435,10188,Finance
USFD,32.32,-0.36991369,-0.12,Neutral,986222,7137839680,,-0.6323,28000,Distribution Services
SYNH,68.32,1.42517815,0.96,Strong Buy,648878,7105075040,37.01912508,1.8448,24000,Health Services
SEE,45.75,1.66666667,0.75,Buy,718741,7098249750,14.86129458,3.0391,16500,Process Industries
KNX,41.7,1.95599022,0.8,Buy,1266804,7081994400,20.87693329,1.9677,23600,Transportation
RHI,62.08,1.52085037,0.93,Sell,1206090,7075878400,21.46517832,2.8647,205600,Commercial Services
RDFN,69,2.61748959,1.76,Buy,1745333,7061736000,,-0.4871,3377,Finance
DCI,55.93,1.8390386,1.01,Buy,671560,7060603200,27.70379338,2.0012,12400,Process Industries
TGTX,51,0,0,Buy,1781199,7028310000,,-2.1004,134,Health Technology
UA,15.45,2.58964143,0.39,Buy,2106601,7024620600,,-1.653,16400,Consumer Non-Durables
CLR,19.22,12.06997085,2.07,Strong Buy,4354358,7019797480,,-0.8702,1260,Energy Minerals
VNO,35.64,-2.78232406,-1.02,Strong Sell,2668904,7011630000,131.0690025,0.2809,4008,Finance
FLIR,53.14,1.72281776,0.9,Buy,9416082,6968992160,49.62948888,1.0588,4265,Electronic Technology
UTHR,156.77,1.83837859,2.83,Buy,355844,6966937185,14.56578922,10.6193,920,Health Technology
LSPD,66.49,-0.99761763,-0.67,Buy,408277,6946473999,,-0.82335766,1100,Technology Services
LMND,122,7.62173606,8.64,Buy,2566302,6904041000,,,279,Finance
