,index,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
35,IFMK,0.0,0.0,0.6259,0.0,0.0, ,0.0, ,0.0,0.0,70.44365,0.0,0.0,19.79857,20.25153,2.83,0.0,0.345,11.14422,24.00595,10.32854,0.0,0.0,0.0,0.0,3.08044,0.0,0.0,0.0,0.26817,0.38238,0.0,0.0,0.0,12.48068,0.0,0.0,30230383.0,0.0,0.0,IFMK,54.7293,124.8648,414653.0,414650.0,5921440.0,0.792,-0.26445032,-0.0021,Sell,340521,23942477.0,,-0.1828,320.0,Retail Trade
36,INUV,1.30588,0.0,2.00933,0.0,0.0, ,0.0, ,0.0,0.0,36.93474,0.0,0.0,82.14318,76.89114,1.11,0.0,0.0926,5.48069,45.44096,89.27665,0.0,0.0,0.0,0.0,1.75816,0.0,0.0,0.0,0.90954,0.0,0.0,0.0,0.0,21.39815,0.0,0.0,97617529.0,0.0,0.0,INUV,6.03403,6.42151,4660055.0,4660060.0,63453900.0,0.53,13.85606874,0.0645,Strong Buy,9136961,51737275.0,,-0.1164,64.0,Technology Services
37,JOB,2.28331,29.79073,1.27703,0.0,0.0, ,0.0, ,0.0,0.0,169.554,432.046,0.9451,36.35783,34.47798,2.49,0.0,0.1677,152.9778,17.13711,13.12214,27.05497,0.0,39.93006,5.59756,0.4321,86.9904,1.02635,0.006053,0.12447,0.0,0.0,74.10052,0.0,0.0,0.0,0.0,17667123.0,0.0,0.0,JOB,63.33956,172.7736,1475675.0,1475670.0,13452760.0,0.998,2.88659794,0.027999999999999997,Sell,150305,17631766.0,,-0.9079999999999999,258.0,Commercial Services
38,KIQ,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47170086.0,0.0,0.0,KIQ,0.0,0.0,146988.0,0.0,0.0,0.5488,-1.27720813,-0.0071,Buy,173556,25886951.0,17.06996379,0.03338948,,Producer Manufacturing
39,LKCO,0.0,0.0,1.33514,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,22.30222,20.25196,1.62,0.0,0.34,60.54265,150.082,139.4171,0.0,0.0,0.0,0.0,2.72842,0.0,0.0,0.0,7.99194,0.0,0.0,0.0,0.0,127.8332,0.0,0.0,212280126.0,0.0,0.0,LKCO,37.8992,60.54265,5451871.0,5451870.0,34123660.0,0.71,0.42432815,0.003,Buy,1086509,150718800.0,,-0.1895,182.0,Technology Services
40,LMFA,1.70274,0.0,17.03978,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.3,2.88975,10.62754,11.89892,0.0,0.0,0.0,0.0,0.9049,0.0,0.0,0.0,6.70448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15400000.0,0.0,0.0,LMFA,2.80859,2.88975,1494734.0,1494730.0,25670470.0,0.725,5.05723808,0.0349,Buy,1651756,11165000.0,,-1.1484,9.0,Commercial Services
41,MKD,0.0,0.0,0.72042,0.0,0.0, ,0.0, ,0.0,0.0,8.20672,39.66482,0.0,0.86445,0.76301,4.83,0.0,0.57,0.0,106.7584,93.09332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05222,0.71398,0.0,0.0,0.0,0.95772,45.88453,0.0,290813051.0,0.0,0.0,MKD,0.0,0.0,426025.0,426030.0,18285770.0,0.81,-1.63934426,-0.0135,Sell,706656,79828200.0,,,482.0,Technology Services
42,MBRX,2.08938,0.0,4.43572,0.0,0.0, ,0.0, ,0.0,0.0,7.74654,39.42086,0.0,0.0,0.0,1.97,0.0,0.323,0.0,53.10113,55.4917,0.0,0.0,0.0,0.0,3.62935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62464564.0,0.0,0.0,MBRX,0.0,0.0,2488945.0,2488940.0,37044060.0,0.89,4.69356546,0.0399,Buy,2003970,55593494.0,,-0.3325,16.0,Health Technology
43,NAK,1.11174,0.0,3.78731,0.0,0.0, ,0.0, ,0.0,0.0,23.25185,0.0,0.0,0.0,0.0,2.49,0.0,0.306,0.39882,177.2918,497.5037,0.0,0.0,0.0,0.0,1.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509046631.0,0.0,0.0,NAK,0.53625,0.53915,10314583.0,10314580.0,304607230.0,0.4132,17.38636364,0.0612,Buy,85826784,210338220.0,,-0.1111735,,Non-Energy Minerals
44,NBY,3.75299,0.0,5.332,0.0,0.0, ,0.0, ,0.0,0.0,12.20154,0.0,0.0,75.29954,61.53846,1.94,0.0,0.24,0.0,30.53053,31.25056,0.0,0.0,0.0,0.0,2.1981,0.0,0.0,0.0,3.13134,5.0706,0.0,0.0,0.0,0.0,14.43662,0.0,41782584.0,0.0,0.0,NBY,0.7436,0.74917,1792766.0,1792770.0,28689550.0,0.785,7.43123033,0.0543,Buy,2836723,32799341.0,,-0.4107,28.0,Health Technology
