,index,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
6402,NGLPRC,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGLPRC,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
6403,NGLS-A,1.28789,0.6842,0.92254,0.0,1.9644,2020-11-27 00:00:00.000,0.1637,2020-12-15 00:00:00.000,7.85,0.0,0.0,353.8993,0.0,38.38589,38.06332,26.26,3.90301,6.47,197.3314,2008.806,5.0,9.88606,0.0,13.43199,0.0,2.50852,0.0,0.0,0.0,0.24614,0.75002,0.0,0.0,0.0,38.83164,0.0,0.0,5000000.0,0.0,0.0,NGLSpA,51.96562,204.4923,14891.0,19400.0,1109200.0,,,,,,,,,,
6404,NGLSPRA,0.0,0.0,0.0,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NGLSPRA,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
6405,NGM,0.0,0.0,8.01358,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.05,0.0,9.245,0.0,2018.814,46.20716,0.0,0.0,0.0,0.0,7.28703,0.0,0.0,0.0,20.45735,0.0,0.0,0.0,0.0,18.86611,0.0,0.0,69019269.0,0.0,0.0,NGM,0.0,0.0,305368.0,305370.0,3735760.0,27.99,-4.30769231,-1.26,Buy,763437.0,1931850207.0,,-1.3308,186.0,Health Technology
6406,NGMS,0.0,0.0,1.69628,0.0,0.0, ,0.0, ,0.0,0.0,0.0,220.7178,0.01862,0.0,0.0,38.75,2.65191,18.67,1326.818,852.7046,4.81999,11.76588,9.69422,24.9382,23.20725,2798.611,55.56527,1859.828,0.0,19.31381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24623291.0,0.0,0.0,NGMS,93.68145,1482.642,273199.0,273200.0,0.0,34.32,-0.89517759,-0.31,Buy,56312.0,845071656.0,,,,Technology Services
6407,NGS,2.195,2.21692,8.75429,0.0,0.0, ,0.0, ,0.0,0.0,107.7558,95.56981,0.07881,49.92071,44.84216,13.14,0.0,2.62,0.0,126.6067,12.43485,0.0,1.58692,0.0,0.0,0.49264,4.84304,119.2742,1.106894,1.78909,6.5125,0.37352,0.44621,0.38661,0.0,0.0,0.0,13468799.0,0.0,0.0,NGS,0.16464,0.16491,53133.0,53130.0,893860.0,9.94,5.74468085,0.54,Sell,23342.0,133879872.0,118.83691529999999,0.0853,270.0,Industrial Services
6408,NGVC,1.28329,8.37812,1.11044,0.0,0.28,2020-11-27 00:00:00.000,0.07,2020-12-16 00:00:00.000,1.99,0.0,112.2197,172.6912,0.88589,27.41069,27.30802,17.39,11.3442,5.41,22.82713,317.4706,11.86463,1.41268,1.9298,1.87676,2.6763,1.83302,6.20035,15.88233,0.141529,0.30619,0.33479,3.96647,12.1277,5.02431,0.0,14.74797,0.0,22563649.0,0.0,0.0,NGVC,19.65665,24.46581,124370.0,124370.0,2888160.0,14.2,0.92395167,0.13,Buy,154918.0,320403120.0,15.88394671,0.8892,4272.0,Retail Trade
6409,NGVT,2.21716,5.03143,3.35942,0.0,0.0, ,0.0, ,0.0,0.0,1.67603,20.04998,4.30416,42.08622,37.61622,84.78,16.63333,24.92,206.9692,2987.81,41.00743,21.07326,15.05151,26.53,18.72016,4.84229,10.79411,16.81629,10.033406,2.50256,2.21912,8.2111,33.89607,9.0091,22.57945,0.0,0.0,41279494.0,0.0,0.0,NGVT,67.80422,210.5997,242622.0,242620.0,5085860.0,75.48,4.28295109,3.1,Buy,266695.0,3115776660.0,16.81730523,4.3297,1850.0,Process Industries
6410,NH,1.82963,0.0,1.3937,0.0,0.0, ,0.0, ,0.0,0.0,22.57151,33.12622,0.0,59.93072,60.64914,6.6,0.0,0.92,0.0,365.8945,44.90627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64805,0.0,0.0,0.0,0.0,6.71026,0.0,0.0,111214133.0,0.0,0.0,NH,161.9417,0.0,2781519.0,2781520.0,47668940.0,3.46,5.16717325,0.17,Strong Buy,618744.0,384800440.0,,-0.7238,,Technology Services
6411,NHA,0.0,0.0,0.0,0.0,0.048,2020-12-14 00:00:00.000,0.004,2020-12-31 00:00:00.000,0.49,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8622711.0,0.0,0.0,NHA,0.0,0.0,28380.0,0.0,0.0,,,,,,,,,,
